"LengthGroup","Year","estimate","lower","upper"
"Length bin 31-33",13,53.0601017187815,52.0509717902085,54.0692316473546
"Length bin 33-35",13,49.7465299055971,48.8209175827103,50.6721422284839
"Length bin 35-37",13,45.4042505536515,44.5311129862464,46.2773881210566
"Length bin 37-39",13,40.4424854445535,39.6648027240574,41.2201681650497
"Length bin 39-41",13,35.2596054021771,34.6081862839212,35.911024520433
"Length bin 41-43",13,30.1473468460947,29.5979053071194,30.6967883850701
"Length bin 43-45",13,25.323463724063,24.8272523490761,25.81967509905
"Length bin 45-47",13,20.9371472171065,20.4692978551674,21.4049965790457
"Length bin 47-49",13,17.0612342013665,16.6244796615001,17.4979887412329
"Length bin >49",13,56.3461637960365,54.2472058981274,58.4451216939457
"Length bin <7",14,19.7306389504108,19.2414748347583,20.2198030660633
"Length bin 7-9",14,81.100550337985,79.1817311177811,83.0193695581888
"Length bin 9-11",14,164.331679050685,160.45661778377,168.2067403176
"Length bin 11-13",14,153.425986035652,149.977496278337,156.874475792968
"Length bin 13-15",14,79.5943025372933,78.0627464419558,81.1258586326308
"Length bin 15-17",14,52.0097903039202,50.9816297710317,53.0379508368087
"Length bin 17-19",14,63.5464349913428,62.1239904563539,64.9688795263318
"Length bin 19-21",14,77.0156830600498,75.4537431195862,78.5776230005135
"Length bin 21-23",14,80.9256914172981,79.506299000033,82.3450838345633
"Length bin 23-25",14,77.9362527240308,76.684692698529,79.1878127495327
"Length bin 25-27",14,73.6454690283516,72.3986725617321,74.8922654949711
"Length bin 27-29",14,70.326772139865,69.0666460423191,71.586898237411
"Length bin 29-31",14,66.8880330591281,65.7205068078951,68.055559310361
"Length bin 31-33",14,62.1008463688663,61.0871413433241,63.1145513944085
"Length bin 33-35",14,56.1966114330459,55.3211466435178,57.072076222574
"Length bin 35-37",14,50.142801862941,49.364054604541,50.921549121341
"Length bin 37-39",14,44.5747995172316,43.8665664524247,45.2830325820386
"Length bin 39-41",14,39.5339517992763,38.8891297827493,40.1787738158032
"Length bin 41-43",14,34.7858532231493,34.2024647657355,35.369241680563
"Length bin 43-45",14,30.1564058109678,29.6294663174389,30.6833453044968
"Length bin 45-47",14,25.6415306920557,25.1633191060867,26.1197422780247
"Length bin 47-49",14,21.3502810929371,20.9129295021501,21.7876326837241
"Length bin >49",14,73.1966775670767,70.8429517759548,75.5504033581987
"Length bin <7",15,10.9881454009489,10.727773489931,11.2485173119668
"Length bin 7-9",15,45.166817214589,44.1526783772097,46.1809560519683
"Length bin 9-11",15,92.0799706336909,90.0339945297881,94.1259467375936
"Length bin 11-13",15,88.411828945019,86.6004694969909,90.223188393047
"Length bin 13-15",15,52.3005660644902,51.4096615973967,53.1914705315837
"Length bin 15-17",15,43.7999288804835,42.8140513755642,44.7858063854028
"Length bin 17-19",15,56.4720196100586,55.114887405726,57.8291518143913
"Length bin 19-21",15,66.3760283153728,64.9475388118159,67.8045178189298
"Length bin 21-23",15,66.0066838120956,64.7843822710631,67.2289853531282
"Length bin 23-25",15,59.1835196142702,58.1310763545457,60.2359628739947
"Length bin 25-27",15,52.5419457451904,51.4480559943151,53.6358354960657
"Length bin 27-29",15,49.1206851308805,48.015368638116,50.226001623645
"Length bin 29-31",15,47.8283212112034,46.8431102440708,48.813532178336
"Length bin 31-33",15,46.5842997563384,45.7145802217202,47.4540192909566
"Length bin 33-35",15,44.3981049647548,43.5525441431549,45.2436657863547
"Length bin 35-37",15,41.3095752018877,40.4864537423584,42.132696661417
"Length bin 37-39",15,37.6663206957398,36.9292319778354,38.4034094136443
"Length bin 39-41",15,33.7496670049145,33.1243616047138,34.3749724051153
"Length bin 41-43",15,29.7496961093595,29.1973827485184,30.3020094702006
"Length bin 43-45",15,25.8169617351274,25.2906569358157,26.3432665344391
"Length bin 45-47",15,22.0733755254376,21.5636648756385,22.5830861752366
"Length bin 47-49",15,18.6011375403777,18.1201194845551,19.0821555962004
"Length bin >49",15,69.0703764248491,66.3925788534824,71.7481739962157
"Length bin <7",16,29.7637524322173,29.0446504625437,30.482854401891
"Length bin 7-9",16,122.36434375264,119.545896201251,125.18279130403
"Length bin 9-11",16,246.775194101714,241.098889051773,252.451499151654
"Length bin 11-13",16,225.229003715679,220.203188655325,230.254818776032
"Length bin 13-15",16,103.016034026265,100.844526838654,105.187541213876
"Length bin 15-17",16,45.7823159036324,44.9633701726323,46.6012616346325
"Length bin 17-19",16,46.845313555748,45.8337521348446,47.8568749766514
"Length bin 19-21",16,56.0216942605656,54.9071123886879,57.1362761324433
"Length bin 21-23",16,58.8742886644608,57.8612687721214,59.8873085568003
"Length bin 23-25",16,56.9230218089188,56.0371054445024,57.8089381733351
"Length bin 25-27",16,54.3603119020925,53.4936156016912,55.2270082024938
"Length bin 27-29",16,52.8951193247542,52.021417672154,53.7688209773544
"Length bin 29-31",16,51.6526291901183,50.825944951447,52.4793134287897
"Length bin 31-33",16,49.5451359599075,48.7943714021035,50.2959005177115
"Length bin 33-35",16,46.5128087652547,45.8272946129631,47.1983229175463
"Length bin 35-37",16,43.0836378405659,42.4478413132799,43.719434367852
"Length bin 37-39",16,39.6419148890278,39.049758416452,40.2340713616037
"Length bin 39-41",16,36.2293928573486,35.678163648667,36.7806220660302
"Length bin 41-43",16,32.7369398421611,32.2228136094321,33.2510660748902
"Length bin 43-45",16,29.1093509777957,28.6281206546423,29.5905813009491
"Length bin 45-47",16,25.4037116965234,24.9510975112168,25.85632588183
"Length bin 47-49",16,21.7445889228361,21.3167156578734,22.1724621877988
"Length bin >49",16,83.6713025582472,81.0578293200222,86.2847757964722
"Length bin <7",17,10.2613871710856,10.00357909333,10.5191952488412
"Length bin 7-9",17,42.1969909649035,41.1830245829153,43.2109573468917
"Length bin 9-11",17,86.6538739487085,84.6007651210852,88.7069827763318
"Length bin 11-13",17,85.9002437378859,84.07018095952,87.7303065162518
"Length bin 13-15",17,57.6769776504395,56.6827964289779,58.6711588719011
"Length bin 15-17",17,57.0888863737502,55.7860969053688,58.3916758421317
"Length bin 17-19",17,75.0218392309989,73.2385685459308,76.805109916067
