"residual","LengthGroup","year"
0.00149548120610765,"Length bin 41-43",2
-0.000185225541891487,"Length bin 41-43",3
-0.00117839097047767,"Length bin 41-43",4
-0.0016647642930181,"Length bin 41-43",5
-6.71053368508367e-05,"Length bin 41-43",6
-0.00298555634757092,"Length bin 41-43",7
0.000659659615307451,"Length bin 41-43",8
-0.00385779695751598,"Length bin 41-43",9
0.00342271779610259,"Length bin 41-43",10
-0.00333229340731034,"Length bin 41-43",11
0.00181123910285175,"Length bin 41-43",12
-0.00573056518853488,"Length bin 41-43",13
0.00605230385362399,"Length bin 41-43",14
-0.00898000576791302,"Length bin 41-43",15
0.00948162195831337,"Length bin 41-43",16
-0.00576072648722503,"Length bin 41-43",17
0.00578856548909545,"Length bin 41-43",18
-0.0552888037286734,"Length bin 41-43",19
0.0825884891323625,"Length bin 41-43",20
-0.00584723189140002,"Length bin 43-45",1
0.00149245592893665,"Length bin 43-45",2
0.000511683484272218,"Length bin 43-45",3
-0.000242665232215167,"Length bin 43-45",4
-0.00120605056245759,"Length bin 43-45",5
0.000158185173868564,"Length bin 43-45",6
-0.00140867859809424,"Length bin 43-45",7
0.00160043154330802,"Length bin 43-45",8
-0.00339368063941903,"Length bin 43-45",9
0.00510343699179749,"Length bin 43-45",10
-0.00358883155575196,"Length bin 43-45",11
0.00114188029309359,"Length bin 43-45",12
-0.00511231808227253,"Length bin 43-45",13
0.00668574362278118,"Length bin 43-45",14
-0.00680201898940114,"Length bin 43-45",15
0.0107138357919871,"Length bin 43-45",16
-0.00282121480371167,"Length bin 43-45",17
0.00796643190973523,"Length bin 43-45",18
-0.0468757634432966,"Length bin 43-45",19
0.0842302328046767,"Length bin 43-45",20
-0.00353443915367513,"Length bin 45-47",1
0.00206789962322151,"Length bin 45-47",2
0.00125844571839906,"Length bin 45-47",3
0.00132399222835344,"Length bin 45-47",4
0.000341527265697916,"Length bin 45-47",5
0.000857106054864332,"Length bin 45-47",6
0.000986962139804426,"Length bin 45-47",7
0.00315499615098425,"Length bin 45-47",8
-0.00293933833193427,"Length bin 45-47",9
0.00769417211495949,"Length bin 45-47",10
-0.00264609395588922,"Length bin 45-47",11
0.0003938558567671,"Length bin 45-47",12
-0.00396450399291348,"Length bin 45-47",13
0.00749624808519966,"Length bin 45-47",14
-0.00416825160192502,"Length bin 45-47",15
0.0124776024675124,"Length bin 45-47",16
0.00111599455313938,"Length bin 45-47",17
0.010262075934234,"Length bin 45-47",18
-0.0382468133709986,"Length bin 45-47",19
0.086406452142024,"Length bin 45-47",20
0.00124124804598735,"Length bin 47-49",1
0.00352067774319464,"Length bin 47-49",2
0.0022127036308377,"Length bin 47-49",3
0.00327662707019183,"Length bin 47-49",4
0.00295515076736974,"Length bin 47-49",5
0.0022705720478613,"Length bin 47-49",6
0.00367327620389957,"Length bin 47-49",7
0.00541871707026753,"Length bin 47-49",8
-0.00245100763433204,"Length bin 47-49",9
0.0111229124437706,"Length bin 47-49",10
-0.000327801855043663,"Length bin 47-49",11
8.90583729398209e-05,"Length bin 47-49",12
-0.00269574861261246,"Length bin 47-49",13
0.00874642791103009,"Length bin 47-49",14
-0.00174852493092592,"Length bin 47-49",15
0.0148123604356769,"Length bin 47-49",16
0.00520219024201118,"Length bin 47-49",17
0.0128073337586208,"Length bin 47-49",18
-0.0311416891400604,"Length bin 47-49",19
0.0890497292872401,"Length bin 47-49",20
-0.000126487141413723,"Length bin >49",1
0.00819183265305856,"Length bin >49",2
-0.00230789721971147,"Length bin >49",3
-0.00887111841875754,"Length bin >49",4
0.00388945603431967,"Length bin >49",5
0.00319975894863944,"Length bin >49",6
-0.00703351332747015,"Length bin >49",7
0.00378404484434203,"Length bin >49",8
-0.0178460776204021,"Length bin >49",9
0.0119784892057124,"Length bin >49",10
0.00918741470999196,"Length bin >49",11
0.00286749415875498,"Length bin >49",12
-0.00767099572693475,"Length bin >49",13
0.0107353415981901,"Length bin >49",14
-0.0155709265520834,"Length bin >49",15
0.0151088990665267,"Length bin >49",16
-0.0114603517028096,"Length bin >49",17
0.000956888470829753,"Length bin >49",18
-0.0648360621987276,"Length bin >49",19
0.0672101285447502,"Length bin >49",20
