"AgeGroup","Year","estimate","lower","upper"
"Age group 15",17,1.52721994735703,0.210183428885163,2.84425646582889
"Age group 1",18,368.161338365906,359.50585273928,376.816823992532
"Age group 2",18,169.553616193039,162.870362559751,176.236869826328
"Age group 3",18,265.445524856268,256.33058216389,274.560467548646
"Age group 4",18,72.5686171201258,65.2152657782798,79.9219684619717
"Age group 5",18,77.4933454192265,67.5524412462308,87.4342495922222
"Age group 6",18,48.0953550083096,38.2506825338015,57.9400274828178
"Age group 7",18,44.9181549932509,33.7246409839971,56.1116690025048
"Age group 8",18,19.2308551499627,11.9241742230709,26.5375360768545
"Age group 9",18,17.0906480202859,9.31358868898259,24.8677073515892
"Age group 10",18,8.9286964237838,5.21807079698679,12.6393220505808
"Age group 11",18,8.13643593531504,4.60035512779189,11.6725167428382
"Age group 12",18,6.03301341352052,2.91535012614775,9.15067670089329
"Age group 13",18,1.92991307502583,0.710373603253635,3.14945254679802
"Age group 14",18,0.788312078706274,0.185997293835147,1.3906268635774
"Age group 15",18,1.44559476601252,0.252546582049106,2.63864294997593
"Age group 1",19,361.88094700008,354.781253358156,368.980640642003
"Age group 2",19,229.063204083073,222.15293546416,235.973472701986
"Age group 3",19,107.740494693138,98.7647365211813,116.716252865094
"Age group 4",19,166.602045083368,155.875697532054,177.328392634681
"Age group 5",19,47.9107035485829,40.3961569699699,55.4252501271959
"Age group 6",19,44.065666420281,34.5694084223056,53.5619244182564
"Age group 7",19,26.6554269471246,19.4282567676546,33.8825971265946
"Age group 8",19,23.1152884326701,15.041362725806,31.1892141395341
"Age group 9",19,11.7974434340448,7.01103175721388,16.5838551108758
"Age group 10",19,11.3359976211477,6.28014439202169,16.3918508502738
"Age group 11",19,6.36555237624512,3.52376543674659,9.20733931574366
"Age group 12",19,5.9540313621396,3.12290918075206,8.78515354352715
"Age group 13",19,4.48062976657813,1.9250772856188,7.03618224753746
"Age group 14",19,1.4317479333698,0.457470745091459,2.40602512164815
"Age group 15",19,1.69935070344617,0.504058366536892,2.89464304035544
"Age group 1",20,500.549880914536,488.700780088482,512.398981740589
"Age group 2",20,293.609830806079,287.822864335491,299.396797276667
"Age group 3",20,186.297642602566,180.771118151373,191.824167053759
"Age group 4",20,87.6147910562651,80.3936174133243,94.835964699206
"Age group 5",20,135.602278831826,126.967852157441,144.236705506211
"Age group 6",20,38.7949332547479,32.7263866857156,44.8634798237802
"Age group 7",20,35.5478814326932,27.9047810186613,43.190981846725
"Age group 8",20,21.3292880077135,15.5536639538668,27.1049120615602
"Age group 9",20,18.4996815582959,12.0169055092924,24.9824576072994
"Age group 10",20,9.41252576931214,5.5888808532432,13.2361706853811
"Age group 11",20,9.04474037203384,4.99822144699775,13.0912592970699
"Age group 12",20,5.06220482257748,2.77051175768139,7.35389788747357
"Age group 13",20,4.71776340949138,2.42184901272982,7.01367780625295
"Age group 14",20,3.52496173040474,1.44825223082443,5.60167122998505
"Age group 15",20,3.84492771658932,1.51554147424579,6.17431395893285
